application,dependency_id,library,version,dependency_type,cve_id,cvss,severity,patch_available,exploitability,description,fixed_version,affected_version_range
CustomerPortal,DEP-0011,jackson-annotations,5.0.6,Direct,CVE-2023-1017,8.0,HIGH,True,HIGH,Denial of service through recursive parsing of nested structures,5.5.0,"5.0.0,5.3.0"
CustomerPortal,DEP-0019,pyyaml,5.7.10,Direct,CVE-2026-1067,6.3,MEDIUM,False,LOW,Regular expression denial of service (ReDoS),,"5.7.0,5.8.0"
CustomerPortal,DEP-0024,jedis,3.9.3,Direct,CVE-2025-1195,1.1,LOW,True,LOW,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"1.3.0,3.11.0"
CustomerPortal,DEP-0037,fabric,3.0.6,Transitive,CVE-2024-1154,4.4,MEDIUM,False,MEDIUM,Insecure random number generation for cryptographic operations,,"4.2.0,2.7.0"
CustomerPortal,DEP-0040,assertj-core,3.6.6,Transitive,CVE-2024-1118,5.0,MEDIUM,False,NONE,SQL injection through improperly sanitized user input,,"2.1.0,4.10.0"
CustomerPortal,DEP-0040,assertj-core,3.6.6,Transitive,CVE-2023-1146,2.8,LOW,True,MEDIUM,Authentication bypass via timing attack on token comparison,4.0.0,"4.1.0,2.9.0"
CustomerPortal,DEP-0043,disruptor,2.2.8,Transitive,CVE-2024-1174,7.4,HIGH,True,LOW,Server-side request forgery (SSRF) via URL parameter,2.0.0,"4.2.0,1.8.0"
CustomerPortal,DEP-0050,netty-handler,1.7.3,Transitive,CVE-2025-1151,1.1,LOW,True,LOW,Open redirect vulnerability in URL handling,6.0.0,"1.0.0,2.12.0"
PaymentService,DEP-0051,caffeine,4.4.5,Direct,CVE-2024-1185,2.3,LOW,True,MEDIUM,XML external entity (XXE) injection in parser,2.0.0,"4.3.0,4.6.0"
PaymentService,DEP-0061,aws-sdk-sqs,2.15.7,Direct,CVE-2022-1107,5.6,MEDIUM,True,NONE,XML external entity (XXE) injection in parser,5.0.0,"1.3.0,4.6.0"
PaymentService,DEP-0061,aws-sdk-sqs,2.15.7,Direct,CVE-2025-1111,4.8,MEDIUM,True,MEDIUM,Cross-site scripting (XSS) in template rendering engine,4.0.0,"4.4.0,2.10.0"
PaymentService,DEP-0063,jedis,2.15.7,Direct,CVE-2024-1178,1.0,LOW,True,MEDIUM,Denial of service through recursive parsing of nested structures,5.0.0,"3.5.0,2.10.0"
PaymentService,DEP-0063,jedis,2.15.7,Direct,CVE-2025-1195,1.1,LOW,True,LOW,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"1.3.0,3.11.0"
PaymentService,DEP-0085,bouncycastle-bcprov,2.8.8,Direct,CVE-2025-1191,0.6,LOW,True,LOW,Denial of service through recursive parsing of nested structures,4.0.0,"1.4.0,2.9.0"
PaymentService,DEP-0087,jackson-annotations,3.9.1,Transitive,CVE-2025-1147,4.7,MEDIUM,True,MEDIUM,Path traversal allowing arbitrary file read,2.0.0,"4.4.0,1.7.0"
PaymentService,DEP-0091,disruptor,2.3.4,Transitive,CVE-2024-1174,7.4,HIGH,True,LOW,Server-side request forgery (SSRF) via URL parameter,2.0.0,"4.2.0,1.8.0"
PaymentService,DEP-0095,lombok,3.12.5,Transitive,CVE-2022-1142,0.7,LOW,False,LOW,Cross-site scripting (XSS) in template rendering engine,,"4.0.0,2.11.0"
PaymentService,DEP-0098,aiohttp,2.4.1,Transitive,CVE-2022-1108,8.2,HIGH,True,LOW,Privilege escalation through unsafe deserialization,3.0.0,"1.2.0,3.12.0"
PaymentService,DEP-0100,bandit,3.6.3,Transitive,CVE-2024-1198,8.5,HIGH,False,LOW,XML external entity (XXE) injection in parser,,"1.2.0,4.8.0"
InternalAPI,DEP-0104,setuptools,2.12.9,Direct,CVE-2024-1169,6.3,MEDIUM,True,LOW,Open redirect vulnerability in URL handling,3.0.0,"4.2.0,1.10.0"
InternalAPI,DEP-0113,markupsafe,2.15.7,Direct,CVE-2022-1161,2.6,LOW,True,LOW,Insecure random number generation for cryptographic operations,3.0.0,"3.0.0,2.10.0"
InternalAPI,DEP-0115,bandit,1.2.8,Direct,CVE-2024-1198,8.5,HIGH,False,LOW,XML external entity (XXE) injection in parser,,"1.2.0,4.8.0"
InternalAPI,DEP-0119,pyyaml,2.15.5,Direct,CVE-2024-1115,6.0,MEDIUM,True,NONE,Prototype pollution in object merge utility,5.0.0,"2.0.0,4.7.0"
InternalAPI,DEP-0121,httpx,4.5.8,Direct,CVE-2025-1096,9.6,CRITICAL,True,NONE,Use-after-free in connection pool management,4.7.0,"4.4.0,4.7.0"
InternalAPI,DEP-0133,ansible-core,3.10.7,Direct,CVE-2025-1141,6.3,MEDIUM,False,LOW,Cross-site scripting (XSS) in template rendering engine,,"1.4.0,4.10.0"
InternalAPI,DEP-0133,ansible-core,3.10.7,Direct,CVE-2022-1157,5.4,MEDIUM,True,LOW,Buffer overflow in native binding,4.0.0,"4.0.0,1.10.0"
InternalAPI,DEP-0138,celery,2.8.4,Transitive,CVE-2022-1110,3.4,LOW,True,NONE,Insecure random number generation for cryptographic operations,5.0.0,"1.2.0,4.9.0"
InternalAPI,DEP-0145,urllib3,2.7.6,Transitive,CVE-2023-1140,6.0,MEDIUM,True,MEDIUM,Privilege escalation through unsafe deserialization,3.0.0,"3.2.0,2.7.0"
HRPortal,DEP-0173,bandit,1.8.9,Direct,CVE-2024-1198,8.5,HIGH,False,LOW,XML external entity (XXE) injection in parser,,"1.2.0,4.8.0"
HRPortal,DEP-0174,ansible-core,3.5.6,Direct,CVE-2025-1141,6.3,MEDIUM,False,LOW,Cross-site scripting (XSS) in template rendering engine,,"1.4.0,4.10.0"
HRPortal,DEP-0174,ansible-core,3.5.6,Direct,CVE-2022-1157,5.4,MEDIUM,True,LOW,Buffer overflow in native binding,4.0.0,"4.0.0,1.10.0"
HRPortal,DEP-0176,aiohttp,2.12.0,Direct,CVE-2022-1108,8.2,HIGH,True,LOW,Privilege escalation through unsafe deserialization,3.0.0,"1.2.0,3.12.0"
HRPortal,DEP-0190,requests,3.6.0,Transitive,CVE-2023-1124,4.9,MEDIUM,False,MEDIUM,SQL injection through improperly sanitized user input,,"4.1.0,2.10.0"
HRPortal,DEP-0194,celery,2.9.6,Transitive,CVE-2022-1110,3.4,LOW,True,NONE,Insecure random number generation for cryptographic operations,5.0.0,"1.2.0,4.9.0"
