application,library,version,license,compatibility_status,severity,reason,recommendation
Customer Portal,Spring Boot,1.0.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,React,3.2.1,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Express,2.14.1,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,FastAPI,3.0.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Kafka Client,1.5.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,PostgreSQL JDBC,2.0.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,MySQL Connector,3.2.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Redis Client,2.14.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Netty,2.17.1,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Hibernate,1.5.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Jetty,2.17.1,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,OkHttp,3.2.1,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Customer Portal,SLF4J,1.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,BouncyCastle,1.5.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Gson,3.0.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Gson,2.0.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Customer Portal,JUnit5,3.2.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Commons IO,1.0.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,OpenSSL,3.2.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Customer Portal,OkHttp,2.14.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Tomcat,1.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Gson,3.2.1,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,JUnit5,2.14.1,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,SLF4J,3.2.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,SLF4J,1.5.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Jetty,3.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,JUnit5,3.0.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Lodash,3.2.1,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,BouncyCastle,2.14.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Jetty,3.2.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Jackson,3.2.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,SLF4J,2.17.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
