application,library,version,last_updated,age_days,age_months,age_years,maintenance_status,risk_level,recommendation
CustomerPortal,micrometer-core,3.0.10,2025-01-30,527,17.3,1.44,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,sqlalchemy,5.13.5,2022-03-18,1576,51.8,4.31,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,netty-all,2.7.4,2025-05-01,436,14.3,1.19,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,json-iterator,2.3.2,2024-12-30,558,18.3,1.53,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,log4j-api,5.1.3,2025-07-11,365,12.0,1.0,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,commons-collections4,4.7.1,2021-03-31,1928,63.3,5.28,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,commons-codec,4.11.10,2024-08-16,694,22.8,1.9,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,gson,1.6.10,2024-10-04,645,21.2,1.77,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,lombok,4.1.2,2023-10-31,984,32.3,2.69,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,werkzeug,1.7.10,2022-02-23,1599,52.5,4.38,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,jackson-annotations,5.0.6,2026-01-01,191,6.3,0.52,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,resilience4j,1.8.0,2024-11-11,607,19.9,1.66,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,slf4j-api,2.8.8,2025-07-03,373,12.3,1.02,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,go-jwt,5.10.5,2026-01-03,189,6.2,0.52,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,spring-security-core,1.2.0,2026-02-19,142,4.7,0.39,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,snakeyaml,3.1.0,2025-06-09,397,13.0,1.09,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,opentelemetry-api,4.10.2,2025-01-15,542,17.8,1.48,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,logback-core,3.4.2,2026-01-03,189,6.2,0.52,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,pyyaml,5.7.10,2021-12-11,1673,55.0,4.58,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,jackson-databind,1.1.6,2025-06-23,383,12.6,1.05,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,caffeine,2.5.7,2024-09-16,663,21.8,1.82,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,log4j-core,2.2.8,2024-07-02,739,24.3,2.02,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,grpc-core,2.1.1,2025-12-06,217,7.1,0.59,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,jedis,3.9.3,2025-06-05,401,13.2,1.1,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,jetty-server,2.3.0,2025-04-12,455,14.9,1.25,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,commons-lang3,4.11.2,2025-12-30,193,6.3,0.53,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,mockito-core,1.2.10,2024-08-02,708,23.3,1.94,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,junit-jupiter,4.1.8,2024-03-30,833,27.4,2.28,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,hibernate-validator,1.13.1,2023-05-03,1165,38.3,3.19,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,guava,1.2.6,2024-06-13,758,24.9,2.08,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,h2-database,5.3.1,2025-07-26,350,11.5,0.96,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,mapstruct,4.15.0,2024-07-10,731,24.0,2.0,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,kafka-clients,4.8.5,2025-10-17,267,8.8,0.73,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,mysql-connector-java,4.2.3,2025-06-18,388,12.7,1.06,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,sarama,5.0.2,2020-04-13,2280,74.9,6.24,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,tomcat-embed-core,2.7.8,2024-09-01,678,22.3,1.86,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,fabric,3.0.6,2025-01-13,544,17.9,1.49,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,commons-io,2.4.6,2025-09-29,285,9.4,0.78,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,spring-core,2.9.0,2026-03-21,112,3.7,0.31,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,assertj-core,3.6.6,2025-11-16,237,7.8,0.65,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,jackson-core,4.9.1,2025-06-19,387,12.7,1.06,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,hibernate-core,3.4.1,2025-03-11,487,16.0,1.33,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,disruptor,2.2.8,2026-02-05,156,5.1,0.43,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,spring-web,2.11.0,2025-07-20,356,11.7,0.97,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,logback-classic,4.11.0,2024-01-27,896,29.4,2.45,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,eslint,2.10.8,2025-04-04,463,15.2,1.27,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,aws-sdk-s3,2.4.1,2024-12-05,583,19.2,1.6,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,crypto-go,3.10.1,2025-05-06,431,14.2,1.18,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,httpcore,3.4.4,2026-01-19,173,5.7,0.47,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,netty-handler,1.7.3,2025-07-29,347,11.4,0.95,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,caffeine,4.4.5,2025-07-19,357,11.7,0.98,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,aws-sdk-s3,2.0.9,2023-08-04,1072,35.2,2.94,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,resilience4j,5.1.10,2025-06-25,381,12.5,1.04,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,snakeyaml,3.15.2,2026-04-10,92,3.0,0.25,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,vue,3.3.1,2024-12-24,564,18.5,1.54,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,httpcore,5.15.3,2024-09-22,657,21.6,1.8,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,logback-core,4.9.4,2025-06-04,402,13.2,1.1,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,grpc-core,3.11.7,2024-12-05,583,19.2,1.6,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,httpclient,4.14.4,2024-11-18,600,19.7,1.64,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,guava,1.5.1,2026-02-16,145,4.8,0.4,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,aws-sdk-sqs,2.15.7,2024-06-13,758,24.9,2.08,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,redis-py,4.11.10,2026-02-18,143,4.7,0.39,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,jedis,2.15.7,2025-03-12,486,16.0,1.33,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,spring-boot-starter,4.7.1,2025-04-20,447,14.7,1.22,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,spring-web,4.0.1,2024-09-02,677,22.2,1.85,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,hibernate-validator,4.10.5,2026-02-25,136,4.5,0.37,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,assertj-core,2.0.5,2024-09-17,662,21.7,1.81,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,jackson-core,4.3.4,2024-12-13,575,18.9,1.57,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,netty-all,5.4.7,2022-06-05,1497,49.2,4.1,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
PaymentService,tomcat-embed-core,5.10.8,2025-03-08,490,16.1,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,postgresql-jdbc,2.13.9,2025-04-18,449,14.8,1.23,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,slf4j-api,2.5.8,2025-10-05,279,9.2,0.76,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,micrometer-core,5.9.6,2020-04-25,2268,74.5,6.21,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
PaymentService,mapstruct,2.9.10,2025-12-07,216,7.1,0.59,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,golangci-lint,4.3.9,2025-07-04,372,12.2,1.02,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,hibernate-core,3.1.6,2024-07-26,715,23.5,1.96,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,jackson-databind,2.11.9,2024-11-29,589,19.4,1.61,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,kafka-clients,1.10.7,2026-03-03,130,4.3,0.36,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,log4j-api,5.11.1,2025-10-31,253,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,psycopg2,1.11.3,2026-02-24,137,4.5,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,commons-collections4,3.14.3,2025-04-25,442,14.5,1.21,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,junit-jupiter,5.9.0,2025-10-12,272,8.9,0.74,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,jetty-server,2.10.8,2024-06-08,763,25.1,2.09,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,mysql-connector-java,1.6.8,2024-08-13,697,22.9,1.91,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,bouncycastle-bcprov,2.8.8,2026-03-08,125,4.1,0.34,Actively Maintained,Low,Continue monitoring releases and security advisories.
