application,library,version,expected,predicted,reason
CustomerPortal,micrometer-core,3.0.10,1,0,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,log4j-api,5.1.3,1,0,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,snakeyaml,3.1.0,0,1,Highest matched CVSS is 8.4; vulnerability severity score is 84.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,jackson-databind,1.1.6,0,1,Highest matched CVSS is 5.6; vulnerability severity score is 56.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,junit-jupiter,4.1.8,1,0,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Outdated; maintenance score is 70. Dependency is Direct; dependency depth score is 25.
CustomerPortal,fabric,3.0.6,0,1,Highest matched CVSS is 4.4; vulnerability severity score is 44.0. License status is Compatible; license score is 0. Dual-MIT/Commercial is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
CustomerPortal,commons-io,2.4.6,0,1,Highest matched CVSS is 8.6; vulnerability severity score is 86.0. License status is Compatible; license score is 0. Dual-MIT/Commercial is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Transitive; dependency depth score is 50.
CustomerPortal,assertj-core,3.6.6,0,1,Highest matched CVSS is 5.0; vulnerability severity score is 50.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Transitive; dependency depth score is 50.
CustomerPortal,hibernate-core,3.4.1,1,0,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-2-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
CustomerPortal,logback-classic,4.11.0,1,0,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Dual-MIT/Commercial is permitted by the Proprietary application policy. Maintenance status is Outdated; maintenance score is 70. Dependency is Transitive; dependency depth score is 50.
CustomerPortal,eslint,2.10.8,0,1,Highest matched CVSS is 6.2; vulnerability severity score is 62.0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
CustomerPortal,aws-sdk-s3,2.4.1,0,1,Highest matched CVSS is 4.1; vulnerability severity score is 41.0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
CustomerPortal,httpcore,3.4.4,0,1,Highest matched CVSS is 5.8; vulnerability severity score is 58.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Transitive; dependency depth score is 50.
PaymentService,aws-sdk-sqs,2.15.7,0,1,Highest matched CVSS is 6.4; vulnerability severity score is 64.0. License status is Compatible; license score is 0. LGPL-2.1 is permitted by the Proprietary application policy. Maintenance status is Outdated; maintenance score is 70. Dependency is Direct; dependency depth score is 25.
PaymentService,hibernate-validator,4.10.5,1,0,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-2-Clause is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
PaymentService,hibernate-core,3.1.6,1,0,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-2-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
PaymentService,log4j-api,5.11.1,1,0,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
PaymentService,h2-database,1.12.0,1,0,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Outdated; maintenance score is 70. Dependency is Transitive; dependency depth score is 50.
