application,dependency_id,library,version,vulnerability_score,license_score,maintenance_score,dependency_depth_score,final_risk_score,final_risk_level,explanation
CustomerPortal,DEP-0001,micrometer-core,3.0.10,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0002,sqlalchemy,5.13.5,0.0,0.0,100.0,25.0,22.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0003,netty-all,2.7.4,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0004,json-iterator,2.3.2,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-2-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0005,log4j-api,5.1.3,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0006,commons-collections4,4.7.1,0.0,0.0,100.0,25.0,22.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0007,commons-codec,4.11.10,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-2-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0008,gson,1.6.10,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Dual-MIT/Commercial is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0009,lombok,4.1.2,0.0,0.0,70.0,25.0,16.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Outdated; maintenance score is 70. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0010,werkzeug,1.7.10,0.0,0.0,100.0,25.0,22.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0011,jackson-annotations,5.0.6,80.0,0.0,0.0,25.0,38.5,Medium,Highest matched CVSS is 8.0; vulnerability severity score is 80.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0012,resilience4j,1.8.0,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0013,slf4j-api,2.8.8,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. MPL-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0014,go-jwt,5.10.5,0.0,75.0,0.0,25.0,21.25,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0015,spring-security-core,1.2.0,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0016,snakeyaml,3.1.0,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0017,opentelemetry-api,4.10.2,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0018,logback-core,3.4.2,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0019,pyyaml,5.7.10,63.0,0.0,100.0,25.0,50.85,High,Highest matched CVSS is 6.3; vulnerability severity score is 63.0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0020,jackson-databind,1.1.6,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0021,caffeine,2.5.7,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-2-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0022,log4j-core,2.2.8,0.0,0.0,70.0,25.0,16.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Outdated; maintenance score is 70. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0023,grpc-core,2.1.1,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0024,jedis,3.9.3,11.0,0.0,40.0,25.0,15.45,Low,Highest matched CVSS is 1.1; vulnerability severity score is 11.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0025,jetty-server,2.3.0,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0026,commons-lang3,4.11.2,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0027,mockito-core,1.2.10,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0028,junit-jupiter,4.1.8,0.0,0.0,70.0,25.0,16.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Outdated; maintenance score is 70. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0029,hibernate-validator,1.13.1,0.0,0.0,100.0,25.0,22.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0030,guava,1.2.6,0.0,0.0,70.0,25.0,16.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Outdated; maintenance score is 70. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0031,h2-database,5.3.1,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0032,mapstruct,4.15.0,0.0,0.0,70.0,25.0,16.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Outdated; maintenance score is 70. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0033,kafka-clients,4.8.5,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. GPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0034,mysql-connector-java,4.2.3,0.0,0.0,40.0,25.0,10.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0035,sarama,5.0.2,0.0,0.0,100.0,25.0,22.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Direct; dependency depth score is 25.
CustomerPortal,DEP-0036,tomcat-embed-core,2.7.8,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. BSD-2-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
CustomerPortal,DEP-0037,fabric,3.0.6,44.0,0.0,40.0,50.0,32.8,Medium,Highest matched CVSS is 4.4; vulnerability severity score is 44.0. License status is Compatible; license score is 0. Dual-MIT/Commercial is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
